arise,arose,arisen,1
awake,awoke,awoken,1
be,was,been,3
bear,bore,borne,1
beat,beat,beaten,2
become,became,become,3
beget,begot,begotten,1
begin,began,begun,3
bend,bent,bent,1
beseech,besought,besought,1
bet,bet,bet,3
bid,bid,bid,3
bide,bode,bidden,1
bind,bound,bound,1
bite,bit,bitten,1
bleed,bled,bled,1
blow,blew,blown,1
break,broke,broken,1
breed,bred,bred,1
bring,brought,brought,3
build,built,built,1
burn,burnt,burnt,1
buy,bought,bought,3
cast,cast,cast,2
catch,caught,caught,1
choose,chose,chosen,3
cleave,clove,cloven,1
cling,clung,clung,1
clothe,clad,clad,1
come,came,come,3
cost,cost,cost,3
creep,crept,crept,1
crow,crew,crowed,1
cut,cut,cut,3
deal,dealt,dealt,2
dig,dug,dug,1
dive,dove,dived,2
do,did,done,3
draw,drew,drawn,1
dream,dreamt,dreamt,2
drink,drank,drunk,3
drive,drove,driven,3
eat,ate,eaten,3
fall,fell,fallen,2
feed,fed,fed,2
feel,felt,felt,2
fight,fought,fought,2
find,found,found,3
fit,fit,fit,2
flee,fled,fled,1
fling,flung,flung,1
fly,flew,flown,1
forbid,forbade,forbidden,1
forget,forgot,forgotten,3
forgive,forgave,forgiven,1
forsake,forsook,forsaken,1
freeze,froze,frozen,1
get,got,got,3
give,gave,given,3
go,went,gone,3
grow,grew,grown,2
hang,hung,hung,2
have,had,had,3
hear,heard,heard,1
heave,hove,hoven,1
hew,hew,hewn,1
hide,hid,hidden,3
hit,hit,hit,3
hold,held,held,3
hurt,hurt,hurt,2
keep,kept,kept,2
ken,kent,kent,1
kneel,knelt,knelt,1
knit,knit,knit,1
know,knew,known,1
lade,laded,laden,1
lead,led,led,1
lean,leant,leant,1
leap,leapt,leapt,1
learn,learnt,learnt,1
leave,left,left,3
lend,lent,lent,1
let,let,let,3
lie,lay,lain,2
light,lit,lit,1
lose,lost,lost,1
make,made,made,3
mean,meant,meant,2
meet,met,met,2
mow,mowed,mown,1
plead,pled,pled,1
proofread,proofread,proofread,1
prove,proved,proven,1
put,put,put,3
queath,quoth,quoth,1
read,read,read,3
reave,reft,reft,1
rend,rent,rent,1
rid,rid,rid,2
ride,rode,ridden,1
ring,rang,rung,1
rise,rose,risen,1
run,ran,run,3
see,saw,seen,3
seek,sought,sought,1
sell,sold,sold,3
send,sent,sent,3
set,set,set,3
sew,sewed,sewn,1
shake,shook,shaken,2
shave,shove,shaven,1
shear,shore,shorn,1
shed,shed,shed,1
shine,shone,shone,1
shoot,shot,shot,1
show,showed,shown,3
shrink,shrank,shrunk,1
shrive,shrove,shriven,1
shut,shut,shut,2
sing,sang,sung,1
sink,sank,sunk,1
sit,sat,sat,2
slay,slew,slain,1
sleep,slept,slept,3
slide,slid,slid,1
sling,slang,slung,1
slink,slunk,slunk,1
slit,slit,slit,1
smite,smote,smitten,1
sneak,snuck,snuck,1
sow,sew,sown,1
speak,spoke,spoken,1
speed,sped,sped,1
spend,spent,spent,1
spill,spilt,spilt,1
spin,span,spun,2
spit,spat,spit,2
spoil,spoilt,spoilt,1
spread,spread,spread,1
spring,sprang,sprung,1
stand,stood,stood,1
steal,stole,stolen,1
stick,stuck,stuck,1
sting,stang,stung,1
stink,stank,stunk,1
strew,strew,strewn,1
stride,strode,stridden,1
strike,struck,stricken,1
string,strang,strung,1
strive,strove,striven,1
swear,swore,sworn,1
sweep,swept,swept,3
swell,swelled,swollen,2
swim,swam,swum,2
swing,swung,swung,1
take,took,taken,3
teach,taught,taught,2
tear,tore,torn,1
tell,told,told,3
think,thought,thought,1
thrive,throve,thriven,1
throw,threw,thrown,1
tread,trod,trod,1
understand,understood,understood,3
wake,woke,woken,3
wear,wore,worn,3
weave,wove,woven,2
wed,wed,wed,2
weep,wept,wept,1
wet,wet,wet,1
shake,shook,shaken,1
win,won,won,3
wind,wound,wound,1
wring,wrung,wrung,1
write,wrote,written,3
